% Model:              outside_in_originalconfiguration_baseline_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 28 2026, 21:42
% Dimension:          2
% Nodes:              149
% Expressions:        13
% Description:        Pressure
% Length unit:        mm
% r                       z                        p (Pa) @ t=0             p (Pa) @ t=20            p (Pa) @ t=40            p (Pa) @ t=60            p (Pa) @ t=80            p (Pa) @ t=100           p (Pa) @ t=120           p (Pa) @ t=140           p (Pa) @ t=160           p (Pa) @ t=180           p (Pa) @ t=200           p (Pa) @ t=220           p (Pa) @ t=240
0.5                       20                       0.019178780298009835     0.019178780298009835     0.019178780298009835     0.019178780298009835     0.019178780298009835     0.019178780298009835     0.019178780298009835     0.019178780298009835     0.019178780298009835     0.019178780298009835     0.019178780298009835     0.019178780298009835     0.019178780298009835
0.5                       19.19999999999999        0.02227299242283101      0.02227299242283101      0.02227299242283101      0.02227299242283101      0.02227299242283101      0.02227299242283101      0.02227299242283101      0.02227299242283101      0.02227299242283101      0.02227299242283101      0.02227299242283101      0.02227299242283101      0.02227299242283101
0.5                       19.406535947712403       0.02148621977640774      0.02148621977640774      0.02148621977640774      0.02148621977640774      0.02148621977640774      0.02148621977640774      0.02148621977640774      0.02148621977640774      0.02148621977640774      0.02148621977640774      0.02148621977640774      0.02148621977640774      0.02148621977640774
0.5                       18.79999999999999        0.023835249110094128     0.023835249110094128     0.023835249110094128     0.023835249110094128     0.023835249110094128     0.023835249110094128     0.023835249110094128     0.023835249110094128     0.023835249110094128     0.023835249110094128     0.023835249110094128     0.023835249110094128     0.023835249110094128
0.5                       19.006535947712408       0.023028573824241182     0.023028573824241182     0.023028573824241182     0.023028573824241182     0.023028573824241182     0.023028573824241182     0.023028573824241182     0.023028573824241182     0.023028573824241182     0.023028573824241182     0.023028573824241182     0.023028573824241182     0.023028573824241182
0.5                       18.39999999999999        0.025365463468080673     0.025365463468080673     0.025365463468080673     0.025365463468080673     0.025365463468080673     0.025365463468080673     0.025365463468080673     0.025365463468080673     0.025365463468080673     0.025365463468080673     0.025365463468080673     0.025365463468080673     0.025365463468080673
0.5                       18.60653594771241        0.02457537068416639      0.02457537068416639      0.02457537068416639      0.02457537068416639      0.02457537068416639      0.02457537068416639      0.02457537068416639      0.02457537068416639      0.02457537068416639      0.02457537068416639      0.02457537068416639      0.02457537068416639      0.02457537068416639
0.5                       17.999999999999993       0.026922537138973926     0.026922537138973926     0.026922537138973926     0.026922537138973926     0.026922537138973926     0.026922537138973926     0.026922537138973926     0.026922537138973926     0.026922537138973926     0.026922537138973926     0.026922537138973926     0.026922537138973926     0.026922537138973926
0.5                       18.20653594771241        0.026118541344856763     0.026118541344856763     0.026118541344856763     0.026118541344856763     0.026118541344856763     0.026118541344856763     0.026118541344856763     0.026118541344856763     0.026118541344856763     0.026118541344856763     0.026118541344856763     0.026118541344856763     0.026118541344856763
0.5                       17.599999999999994       0.02845697147942507      0.02845697147942507      0.02845697147942507      0.02845697147942507      0.02845697147942507      0.02845697147942507      0.02845697147942507      0.02845697147942507      0.02845697147942507      0.02845697147942507      0.02845697147942507      0.02845697147942507      0.02845697147942507
