% Model:              inside_out_baseline_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 28 2026, 21:50
% Dimension:          2
% Nodes:              151
% Expressions:        21
% Description:        Pressure
% Length unit:        mm
% R                       Z                        p (Pa) @ t=0             p (Pa) @ t=0.5           p (Pa) @ t=1             p (Pa) @ t=1.5           p (Pa) @ t=2             p (Pa) @ t=2.5           p (Pa) @ t=3             p (Pa) @ t=3.5           p (Pa) @ t=4             p (Pa) @ t=4.5           p (Pa) @ t=5             p (Pa) @ t=5.5           p (Pa) @ t=6             p (Pa) @ t=6.5           p (Pa) @ t=7             p (Pa) @ t=7.5           p (Pa) @ t=8             p (Pa) @ t=8.5           p (Pa) @ t=9             p (Pa) @ t=9.5           p (Pa) @ t=10
0                         14                       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102       173.15349752625102
0                         13.866666666666669       177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335        177.0004210309335
0                         13.733333333333334       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603       180.84693248546603
0                         13.600000000000001       184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526        184.6993732739526
0                         13.466666666666667       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407       188.55193713316407
0                         13.33333333333333        192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764       192.39884436563764
0                         13.200000000000001       196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866        196.2453980521866
0                         13.066666666666668       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235       200.09793949283235
0                         12.933333333333332       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488       203.95039999288488
0                         12.8                     207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578       207.79723965395578
