% Model:              inside_out_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 19:11
% Dimension:          1
% Nodes:              1344
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Molar concentration, is
0.7901999999999999        4.616657846229072E-116
0.7963199999999999        2.04213286817416E-117
0.8024399999999999        9.032167528894881E-119
0.80856                   3.994412640165891E-120
0.8146800000000001        1.766314468194731E-121
0.8208000000000001        7.809773118186304E-123
0.8269200000000001        3.452750326927359E-124
0.8330400000000003        1.526333079287569E-125
0.8391600000000004        6.746706309737797E-127
0.8452800000000004        2.98190329839452E-128
0.8514000000000004        1.317817998317885E-129
0.8575200000000003        5.823422081928893E-131
0.8636400000000003        2.573136616430314E-132
0.8697600000000003        1.1368676645076566E-133
0.8758800000000003        5.022502893889617E-135
0.8820000000000005        2.2186785216350875E-136
0.8881200000000004        9.800159134995302E-138
0.8942400000000003        4.3284966045728616E-139
0.9003600000000004        1.911643291906806E-140
0.9064800000000001        8.441955426017652E-142
0.9126000000000001        3.7277455090016623E-143
0.9187200000000002        1.6459514722820012E-144
0.9248400000000001        7.267012734437422E-146
0.9309600000000001        3.2082151154126397E-147
0.9370800000000001        1.4162510210016457E-148
0.9432000000000001        6.251535602915593E-150
0.94932                   2.759328539311274E-151
0.9554400000000001        1.217841737417851E-152
0.9615600000000001        5.374641879472246E-154
0.9676800000000002        2.3718102420656312E-155
0.9738000000000001        1.0466044258101226E-156
0.9799200000000002        4.618042180219096E-158
0.9860400000000001        2.0375412215885852E-159
0.9921600000000002        8.989355708542426E-161
0.9982800000000003        3.9657455973260877E-162
1.0044000000000002        1.7494265909874702E-163
1.0105200000000003        7.716878174189247E-165
1.0166400000000002        3.4037924335829026E-166
1.0227600000000001        1.5012756744918952E-167
1.0288800000000002        6.621162210101942E-169
1.0350000000000001        2.9200134342742895E-170
1.0411200000000003        1.287694227854126E-171
1.0472400000000002        5.678300291544851E-173
1.0533600000000003        2.5038141825611316E-174
1.0594800000000002        1.103988080231579E-175
1.0656000000000003        4.8674963616774804E-177
1.0717200000000002        2.1459828852694426E-178
1.0778400000000006        9.460773346404704E-180
1.0839600000000003        4.1706829743531356E-181
1.0900800000000004        1.838519586718927E-182
1.0962000000000003        8.104202052100911E-184
1.1023200000000002        3.5721817351227545E-185
1.1084400000000003        1.5744848203112897E-186
1.1145600000000004        6.939455742061924E-188
1.1206800000000003        3.0584028342509106E-189
1.1268000000000002        1.3478657758466025E-190
1.1329200000000004        5.93993393404339E-192
1.1390400000000003        2.617579695134209E-193
1.1451600000000004        1.1534581803462583E-194
1.1512800000000003        5.082621145808851E-196
1.1574000000000004        2.2395350565463686E-197
1.1635200000000003        9.867622320579381E-199
1.1696400000000005        4.347624012052549E-200
1.1757600000000004        1.9154751227327668E-201
1.1818800000000007        8.438910739270905E-203
1.1880000000000004        3.71776441031305E-204
1.1941200000000003        1.6378087254304918E-205
1.2002400000000004        7.21490434412812E-207
1.2063600000000003        3.1782224368984753E-208
1.2124800000000004        1.3999887340402446E-209
1.2186000000000003        6.166681956656954E-211
1.2247200000000005        2.716223670702159E-212
1.2308400000000004        1.196373219320931E-213
1.2369600000000005        5.269327703972654E-215
1.2430800000000004        2.3207657089436633E-216
1.2492000000000008        1.02210412181538E-217
1.2553200000000004        4.5013927936041593E-219
1.2614400000000006        1.9823794565455306E-220
1.2675600000000005        8.730014001828367E-222
1.2736800000000006        3.844426221874611E-223
1.2798000000000005        1.6929211047628035E-224
1.2859200000000006        7.454708389733799E-226
1.2920400000000005        3.2825662637100104E-227
1.2981600000000004        1.4453911493121717E-228
1.3042800000000006        6.364238822820358E-230
1.3104000000000005        2.802185434110359E-231
1.3165200000000008        1.2337771780266371E-232
1.3226400000000005        5.43208030873009E-234
1.3287600000000004        2.3915823832814865E-235
1.33488                   1.0529175059920162E-236
1.341                     4.635464972798038E-238
1.3471199999999999        2.0407148946000844E-239
1.3532400000000002        8.98383054808865E-241
1.35936                   3.954859569257857E-242
1.36548                   1.7409688012009705E-243
1.3716                    7.663751638176602E-245
1.3777199999999998        3.3735136439999035E-246
1.38384                   1.4849582267348953E-247
1.38996                   6.536372862799736E-249
1.39608                   2.877069232061479E-250
1.4022                    1.2663530913186742E-251
1.40832                   5.573787640480645E-253
1.41444                   2.4532240526099604E-254
1.4205600000000003        1.079730307987655E-255
1.42668                   4.752090913078284E-257
1.4328                    2.0914411367660204E-258
1.43892                   9.204455305314437E-260
1.44504                   4.050812729862878E-261
1.45116                   1.7826986960511472E-262
1.4572800000000004        7.8452270365827205E-264
1.4634000000000003        3.452430577206377E-265
1.4695200000000002        1.5192748177322742E-266
1.4756400000000003        6.68559014030073E-268
1.4817600000000002        2.9419498037903966E-269
1.4878800000000005        1.2945622651005976E-270
1.4940000000000002        5.696431490202127E-272
1.5001200000000003        2.5065428651443828E-273
1.5062400000000002        1.1029092726243433E-274
1.5123600000000004        4.85285042535488E-276
1.5184800000000003        2.1352393238762442E-277
1.5246000000000004        9.394827652898293E-279
1.5307200000000003        4.1335552702918465E-280
1.53684                   1.8186596078037124E-281
1.5429600000000003        8.00150905095782E-283
1.5490800000000002        3.52034521260331E-284
1.5552                    1.5487864626704253E-285
1.5613200000000003        6.813822824388426E-287
1.56744                   2.997665674114791E-288
1.5735600000000003        1.3187688526497195E-289
1.5796800000000004        5.8015943232214755E-291
1.5858000000000003        2.5522269178389386E-292
1.5919200000000007        1.122753773865702E-293
1.5980400000000001        4.939046708843348E-295
1.60416                   2.1726770311648427E-296
1.6102800000000002        9.557420655889867E-298
1.6164                    4.2041652210319743E-299
1.62252                   1.8493216409518158E-300
1.6286400000000003        8.1346484784742E-302
1.6347600000000004        3.578152166765763E-303
1.6408800000000003        1.5738815812606546E-304
1.6470000000000005        6.922896555918721E-306
1.6531200000000004        3.0391909763788447E-307
1.6592400000000007        1.3788959996611373E-308
1.6653600000000004        7.17589246910326E-310
1.6714800000000005        -7.383538239027E-311
1.6776000000000004        -8.0071471187E-312
1.6837200000000005        -5.76653006707E-313
1.6898400000000005        -2.525084916E-314
1.6959600000000008        -1.105706677E-315
1.7020800000000003        -4.8417954E-317
1.7082000000000002        -2.1202E-318
1.7143200000000005        -9.2845E-320
1.7204400000000002        -4.07E-321
1.72656                   -1.8E-322
1.7326800000000002        -1.0E-323
1.7388000000000001        0
1.7449200000000002        0
1.7510400000000002        0
1.7571600000000003        0
1.765775417902581         0
1.7770051378420388        0
1.7856288281560164        0
1.7920336427295878        0
1.7951529535747           0
1.7970227734280135        0
1.7979368313375004        0
1.7984720272500003        0
1.7989374150000004        0
1.7993421000000003        0
1.7996940000000003        0
1.8000000000000005        0
0                         0.09999686493278119
0.015000000000000015      0.09999603666852769
0.030000000000000013      0.09999498617601868
0.045000000000000005      0.09998423114283744
0.0661176636499657        0.09995166412905358
0.09364301330729984       0.09979143354853134
0.11478260364023539       0.09830265898069505
0.13048106160469486       0.09486237782295705
0.13898907676946723       0.09229874637870014
0.14309067871521702       0.09097496418428296
0.1449432140625           0.09037102509356956
0.14625496875             0.08994299567482171
0.147395625               0.08957133119779295
0.1483875                 0.08924909726504072
0.14925                   0.08896998405627346
0.15                      0.08872834743991587
0.1505                    0.08837180393217631
0.151075                  0.08796324014706042
0.15173625                0.08749530953619485
0.15249668749999998       0.08695970337544627
0.153371190625            0.08634704786285927
0.15460614806640127       0.0854876980540095
0.15734047201414628       0.08360924855651775
0.16301231143072156       0.07981516256669285
0.1756547705707205        0.07181586011839564
0.20147344917058943       0.05714705282796593
0.2242464507632097        0.045685664201613914
0.23693294558204148       0.03979150569760417
0.2430205540996574        0.037073846817797566
0.24559734085150983       0.035943901540735644
0.246628809375            0.035494905199840804
0.24750331250000004       0.03511570449495689
0.24826375                0.03478705204546045
0.24892499999999998       0.0345020844070481
0.2495                    0.03425490101386775
0.25                      0.03404042147506829
0.2501                    0.034021141472241986
0.25021499999999997       0.03399897899294082
0.25034724999999997       0.03397350472554453
0.2504993375              0.03394422594246418
0.25067423812499995       0.0339105773009265
0.25086588794580544       0.03387373290995643
0.25133297421235873       0.03378405378317316
0.2524328311726777        0.03357354406517963
0.2542000356770174        0.033237219986656394
0.25703644906490025       0.0327022669002383
0.2602557484056784        0.03210220753353133
0.2621969039321395        0.03174395870636043
0.26343357059682254       0.03151710485044144
0.2644342111016714        0.03133432606311083
0.26524195891389185       0.031187284956115845
0.26594952949034073       0.031058847258439222
0.2665648082524702        0.03094743964794654
0.26709983326301756       0.03085077220560673
0.267565072402624         0.030766870763603096
0.2679696281761948        0.030694031441577063
0.2683214158053867        0.030630782197237635
0.26862731809164064       0.030575850197659238
0.2688933200796876        0.030528134046325584
0.26912462615625005       0.03048668008026763
0.2693257618750001        0.030450662093367643
0.26950066250000004       0.030419363954824925
0.26965275000000005       0.03039216468243863
0.26978500000000005       0.030368525603669844
0.26990000000000003       0.03034797929711793
0.27                      0.030330120055928493
0.270306                  0.030275511849522752
0.2706579                 0.03021278888425854
0.271062585               0.03014075849949263
0.27152797275             0.03005805699822713
0.2720631686625001        0.029963126499246234
0.272678643961875         0.029854189111733393
0.27338644055615624       0.02972921828015764
0.2742004066395797        0.02958590720157751
0.27513646763551663       0.02942163430345296
0.2762129377808441        0.029233425899279714
0.27745087844797073       0.02901791632734897
0.27887451021516635       0.02877130614515295
0.2805116867474413        0.02848931932543408
0.2823944397595575        0.02816716091534941
0.28455960572349115       0.027799477325083317
0.2873065083529094        0.02733728951732667
0.2907237231491748        0.026768961916105765
0.29387747396765296       0.026250940158725165
0.2977711037342163        0.02561992082490597
0.3025518100105556        0.024857930249777647
0.30773508063050903       0.02404756473763262
0.31335907020976184       0.0231867115029553
0.31918603837025655       0.02231482587158142
0.3251392029985264        0.02144494093104635
0.3312000000000003        0.020580842895822238
0.33732000000000023       0.019730170814911227
0.3434400000000003        0.018901323632786498
0.34956000000000026       0.01809416464488868
0.3556800000000002        0.01730856555711474
0.36180000000000007       0.016544403895085793
0.3679199999999999        0.015801560548478373
0.3740400000000001        0.015079917447656308
0.38016000000000016       0.014379355370118734
0.3862800000000001        0.013699751875126657
0.39240000000000014       0.013040979366134459
0.39852000000000015       0.012402903282108862
0.40464000000000006       0.011785380420234599
0.41075999999999996       0.011188257393688379
0.41688000000000014       0.010611369228978615
0.42300000000000015       0.010054538107737676
0.42912000000000006       0.009517572257817675
0.4352400000000002        0.00900026499812859
0.4413600000000002        0.008502393940940947
0.4474800000000002        0.008023720354435238
0.4536000000000001        0.0075639886871932665
0.4597200000000001        0.007122926255151062
0.46584000000000003       0.006700243090317215
0.47196000000000005       0.006295631949332155
0.4780800000000001        0.005908768478723862
0.4842000000000003        0.005539311532515203
0.49032000000000026       0.0051869036366664735
0.4964400000000001        0.00485117159370283
0.5025600000000001        0.004531727219790346
0.5086800000000002        0.00422816820549807
0.5148000000000003        0.003940079090530817
0.5209200000000002        0.0036670323418527364
0.5270400000000002        0.003408589523859803
0.5331600000000003        0.0031643025486129996
0.5392800000000004        0.002933714993625119
0.5454000000000002        0.002716363474312323
0.5515200000000001        0.002511779057982728
0.5576400000000004        0.002319488706142906
0.5637600000000001        0.0021390167319598366
0.5698800000000003        0.001969886259918853
0.5760000000000003        0.0018116206750639213
0.5821200000000003        0.001663745049687059
0.5882400000000003        0.0015257875359416713
0.5943600000000003        0.0013972807135780973
0.6004800000000003        0.0012777628828266154
0.6066000000000003        0.0011667792933697657
0.6127200000000003        0.0010638833013369468
0.6188400000000003        9.686374473039313E-4
0.6249600000000004        8.806144493719711E-4
0.6310800000000003        7.993981065190322E-4
0.6372000000000003        7.245841085427285E-4
0.6433200000000003        6.557807500351233E-4
0.6494400000000001        5.926095469280836E-4
0.6555599999999999        5.347057552102664E-4
0.6616799999999998        4.8171879242987303E-4
0.6677999999999997        4.3331256354934395E-4
0.6739199999999997        3.891656935990048E-4
0.6800399999999998        3.4897167037787344E-4
0.6861599999999998        3.124389011646146E-4
0.6922799999999998        2.792906880249312E-4
0.6983999999999998        2.4926512683047313E-4
0.7045199999999998        2.2211493553692894E-4
0.7106399999999998        1.976072176056768E-4
0.7167599999999998        1.755231666958298E-4
0.7228799999999999        1.5565771890486803E-4
0.729                     1.378191589007024E-4
0.7351199999999999        1.218286862714349E-4
0.7412399999999999        1.0751994832765494E-4
0.74736                   9.473854543300214E-5
0.7534799999999998        8.334151471955261E-5
0.7595999999999998        7.319679777339706E-5
0.7657199999999998        6.418269756080627E-5
0.7718399999999999        5.618732951477297E-5
0.7779599999999999        4.910807132364014E-5
0.7840799999999999        4.285101556572004E-5
0.7901999999999999        3.73304289237217E-5
0.7963199999999999        3.246822129733756E-5
0.8024399999999999        2.8193427717852072E-5
0.80856                   2.4441705560811336E-5
0.8146800000000001        2.1154849156684778E-5
0.8208000000000001        1.8280323519373113E-5
0.8269200000000001        1.5770818551987452E-5
0.8330400000000003        1.358382475146842E-5
0.8391600000000004        1.1681231120568258E-5
0.8452800000000004        1.0028945709067548E-5
0.8514000000000004        8.596538946851735E-6
0.8575200000000003        7.356909700046208E-6
0.8636400000000003        6.285973777766433E-6
0.8697600000000003        5.3623744406752345E-6
0.8758800000000003        4.567214312585677E-6
0.8820000000000005        3.8838079716260075E-6
0.8881200000000004        3.297454396551941E-6
0.8942400000000003        2.7952283650203883E-6
0.9003600000000004        2.365789842255716E-6
0.9064800000000001        1.999210358677924E-6
0.9126000000000001        1.6868153518143332E-6
0.9187200000000002        1.4210414392681458E-6
0.9248400000000001        1.195307593781633E-6
0.9309600000000001        1.0038992066871594E-6
0.9370800000000001        8.418640505420138E-7
0.9432000000000001        7.049191838555698E-7
0.94932                   5.893678790187475E-7
0.9554400000000001        4.92025697441478E-7
0.9615600000000001        4.101548822328566E-7
0.9676800000000002        3.4140628739509504E-7
0.9738000000000001        2.837681124552233E-7
0.9799200000000002        2.3552076186766203E-7
0.9860400000000001        1.9519719865318139E-7
0.9921600000000002        1.6154821098044824E-7
0.9982800000000003        1.3351205824238553E-7
1.0044000000000002        1.1018800922880775E-7
1.0105200000000003        9.081332894048728E-8
1.0166400000000002        7.474331220082278E-8
